Id;lloc_de_gravacio;Nom_fitxer;YouTube_logotips;Incrustació_logotips;adreca_html;grup_edat;data_enregistrament;codi_informant;Activitat;Etiquetes;Gènere discursiu;;;;;;;;;;;;;;;
15;5;SC0007;https://youtu.be/MHEji3rBHJY;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/MHEji3rBHJY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/nXRrUQAmacA;18-30 anys;23/9/2016;SC;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
16;5;SC-SK 0005b;https://youtu.be/Blk1Ih2Lgm0;"<iframe width=""1284"" height=""480"" src=""https://www.youtube.com/embed/Blk1Ih2Lgm0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/HUOthsBB4s8;18-30 anys;23/9/2016;SC-SK;6;LSC, CORPUS, llengua de signes catalana;Descripció;;;;;;;;;;;;;;;
17;5;SC003;https://youtu.be/RY85UIu1HFA;"<iframe width=""1366"" height=""768"" src=""https://www.youtube.com/embed/RY85UIu1HFA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/BPoL-byQ4bw;18-30 anys;23/9/2016;SC;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
18;1;CORPUS 00001 DT-KD G 130830;https://youtu.be/6fO8gABh2Vo;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/6fO8gABh2Vo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/1OroYwg7zUo;51-80 anys;30/8/2013;DT-KD;1;LSC, CORPUS, llengua de signes catalana;Narració, Explicació;;;;;;;;;;;;;;;
19;1;CORPUS 00002 KD G 130830;https://youtu.be/A1vm1uKMxv0;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/A1vm1uKMxv0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/VBSuJI7JXOY;51-80 anys;30/8/2013;KD;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
20;1;CORPUS 00004 DT-KD G 130830;https://youtu.be/NasVu9ljGZ4;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/NasVu9ljGZ4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/MLwyFXqjd0c;51-80 anys;30/8/2013;DT-KD;4;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
21;1;CORPUS 00005a DT-KD G 130830;https://youtu.be/PF5cRGdtmac;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/PF5cRGdtmac"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/fftU_HxwjTE;51-80 anys;30/8/2013;DT-KD;5;LSC, CORPUS, llengua de signes catalana;Descripció;;;;;;;;;;;;;;;
22;1;CORPUS 00005b DT-KD G 130830;https://youtu.be/zCFOtW-1OxY;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/zCFOtW-1OxY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/0xdf1ngM_24;51-80 anys;30/8/2013;DT-KD;6;LSC, CORPUS, llengua de signes catalana;Descripció;;;;;;;;;;;;;;;
23;1;CORPUS 00006 DT-KD G 130830;https://youtu.be/6wi10Px89bg;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/6wi10Px89bg"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/pwidHJEYJVI;51-80 anys;30/8/2013;DT-KD;7;LSC, CORPUS, llengua de signes catalana;Descripció;;;;;;;;;;;;;;;
24;1;CORPUS 00008 DT-KD G 130830;https://youtu.be/Ikm6lLEnpqo;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/Ikm6lLEnpqo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/edNyhcD1wO0;51-80 anys;30/8/2013;DT-KD;9;LSC, CORPUS, llengua de signes catalana;Argumentació;;;;;;;;;;;;;;;
25;1;CORPUS 00002 KW;https://youtu.be/IA9SpxWgbFo;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/IA9SpxWgbFo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/gZ9j9x_iLKg;31-50 anys;31/8/2013;KW;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
26;9;CORPUS 00002 CG;https://youtu.be/yPXxuGTYgec;"<iframe width=""1366"" height=""768"" src=""https://www.youtube.com/embed/yPXxuGTYgec"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/g_igKC3P3iQ;18-30 anys;3/10/2013;CG;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
27;2;CORPUS 00002 BN G 141115;https://youtu.be/rV6AvJz49tU;"<iframe width=""1366"" height=""768"" src=""https://www.youtube.com/embed/rV6AvJz49tU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/3LtpsAsDsqg;51-80 anys;15/11/2014;BN;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
28;9;CORPUS 00002 QF;https://youtu.be/Dx6qtUdNUNc;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/Dx6qtUdNUNc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/hfHFC5PrW6o;18-30 anys;3/10/2013;QF;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
29;1;CORPUS 00002 DU;https://youtu.be/3dwQwB3lYDI;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/3dwQwB3lYDI"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/9S-jd2e-ukg;31-50 anys;31/8/2013;DU;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
